0.00,0.00
0.01,0.02
0.02,0.05
0.02,0.07
0.03,0.09
0.04,0.12
0.05,0.14
0.06,0.16
0.06,0.19
0.07,0.21
0.08,0.23
0.09,0.26
0.10,0.28
0.10,0.30
0.11,0.32
0.12,0.34
0.13,0.37
0.14,0.39
0.14,0.41
0.15,0.43
0.16,0.45
0.17,0.47
0.18,0.49
0.18,0.51
0.19,0.54
0.20,0.56
0.21,0.58
0.22,0.60
0.22,0.62
0.23,0.64
0.24,0.66
0.25,0.68
0.25,0.70
0.26,0.72
0.27,0.74
0.28,0.75
0.29,0.77
0.29,0.79
0.30,0.81
0.31,0.83
0.32,0.85
0.33,0.87
0.33,0.89
0.34,0.90
0.35,0.92
0.36,0.94
0.37,0.96
0.37,0.98
0.38,0.99
0.39,1.01
0.40,1.03
0.40,1.04
0.41,1.06
0.42,1.08
0.43,1.10
0.43,1.11
0.44,1.13
0.45,1.15
0.46,1.16
0.47,1.18
0.47,1.19
0.48,1.21
0.49,1.23
0.50,1.24
0.50,1.26
0.51,1.27
0.52,1.29
0.53,1.30
0.53,1.32
0.54,1.33
0.55,1.35
0.56,1.36
0.56,1.38
0.57,1.39
0.58,1.41
0.59,1.42
0.59,1.43
0.60,1.45
0.61,1.46
0.62,1.48
0.62,1.49
0.63,1.50
0.64,1.52
0.65,1.53
0.65,1.54
0.66,1.56
0.67,1.57
0.68,1.58
0.68,1.59
0.69,1.61
0.70,1.62
0.71,1.63
0.71,1.64
0.72,1.66
0.73,1.67
0.73,1.68
0.74,1.69
0.75,1.70
0.76,1.72
0.76,1.73
0.77,1.74
0.78,1.75
0.79,1.76
0.79,1.77
0.80,1.78
0.81,1.79
0.81,1.81
0.82,1.82
0.83,1.83
0.83,1.84
0.84,1.85
0.85,1.86
0.86,1.87
0.86,1.88
0.87,1.89
0.88,1.90
0.88,1.91
0.89,1.92
0.90,1.93
0.90,1.94
0.91,1.95
0.92,1.95
0.92,1.96
0.93,1.97
0.94,1.98
0.94,1.99
0.95,2.00
0.96,2.01
0.96,2.02
0.97,2.02
0.98,2.03
0.98,2.04
0.99,2.05
1.00,2.06
1.00,2.06
1.01,2.07
1.02,2.08
1.02,2.09
1.03,2.10
1.04,2.10
1.04,2.11
1.05,2.12
1.06,2.12
1.06,2.13
1.07,2.14
1.07,2.15
1.08,2.15
1.09,2.16
1.09,2.17
1.10,2.17
1.11,2.18
1.11,2.18
1.12,2.19
1.12,2.20
1.13,2.20
1.14,2.21
1.14,2.21
1.15,2.22
1.16,2.23
1.16,2.23
1.17,2.24
1.17,2.24
1.18,2.25
1.19,2.25
1.19,2.26
1.20,2.26
1.20,2.27
1.21,2.27
1.21,2.28
1.22,2.28
1.23,2.29
1.23,2.29
1.24,2.30
1.24,2.30
1.25,2.30
1.25,2.31
1.26,2.31
1.27,2.32
1.27,2.32
1.28,2.32
1.28,2.33
1.29,2.33
1.29,2.34
1.30,2.34
1.30,2.34
1.31,2.35
1.32,2.35
1.32,2.35
1.33,2.36
1.33,2.36
1.34,2.36
1.34,2.36
1.35,2.37
1.35,2.37
1.36,2.37
1.36,2.38
1.37,2.38
1.37,2.38
1.38,2.38
1.38,2.39
1.39,2.39
1.39,2.39
1.40,2.39
1.40,2.39
1.41,2.40
1.41,2.40
1.42,2.40
1.42,2.40
1.43,2.40
1.43,2.40
1.44,2.40
1.44,2.41
1.45,2.41
1.45,2.41
1.46,2.41
1.46,2.41
1.47,2.41
1.47,2.41
1.48,2.41
1.48,2.41
1.48,2.42
1.49,2.42
1.49,2.42
1.50,2.42
1.50,2.42
1.51,2.42
1.51,2.42
1.52,2.42
1.52,2.42
1.52,2.42
1.53,2.42
1.53,2.42
1.54,2.42
1.54,2.42
1.55,2.42
1.55,2.42
1.55,2.42
1.56,2.42
1.56,2.42
1.57,2.42
1.57,2.42
1.57,2.42
1.58,2.41
1.58,2.41
1.59,2.41
1.59,2.41
1.59,2.41
1.60,2.41
1.60,2.41
1.61,2.41
1.61,2.41
1.61,2.40
1.62,2.40
1.62,2.40
1.62,2.40
1.63,2.40
1.63,2.40
1.63,2.40
1.64,2.39
1.64,2.39
1.65,2.39
1.65,2.39
1.65,2.39
1.66,2.39
1.66,2.38
1.66,2.38
1.67,2.38
1.67,2.38
1.67,2.37
1.68,2.37
1.68,2.37
1.68,2.37
1.69,2.36
1.69,2.36
1.69,2.36
1.69,2.36
1.70,2.35
1.70,2.35
1.70,2.35
1.71,2.35
1.71,2.34
1.71,2.34
1.72,2.34
1.72,2.33
1.72,2.33
1.72,2.33
1.73,2.32
1.73,2.32
1.73,2.32
1.73,2.31
1.74,2.31
1.74,2.31
1.74,2.30
1.75,2.30
1.75,2.30
1.75,2.29
1.75,2.29
1.76,2.29
1.76,2.28
1.76,2.28
1.76,2.28
1.77,2.27
1.77,2.27
1.77,2.26
1.77,2.26
1.77,2.26
1.78,2.25
1.78,2.25
1.78,2.24
1.78,2.24
1.79,2.23
1.79,2.23
1.79,2.23
1.79,2.22
1.79,2.22
1.80,2.21
1.80,2.21
1.80,2.20
1.80,2.20
1.80,2.19
1.81,2.19
1.81,2.18
1.81,2.18
1.81,2.18
1.81,2.17
1.81,2.17
1.82,2.16
1.82,2.16
1.82,2.15
1.82,2.15
1.82,2.14
1.82,2.14
1.83,2.13
1.83,2.13
1.83,2.12
1.83,2.11
1.83,2.11
1.83,2.10
1.83,2.10
1.84,2.09
1.84,2.09
1.84,2.08
1.84,2.08
1.84,2.07
1.84,2.07
1.84,2.06
1.84,2.06
1.84,2.05
1.85,2.04
1.85,2.04
